Name,City,Zip,County,Latitude,Longtitude,Type
A. K. SMILEY PUBLIC LIBRARY,REDLANDS,92373,San Bernardino,34.05408,-117.18396,Library
ALBANY LIBRARY,ALBANY,94706,Alameda,37.88797,-122.29299,Library
CASTRO VALLEY LIBRARY,CASTRO VALLEY,94546,Alameda,37.69298,-122.07105,Library
CENTERVILLE LIBRARY,FREMONT,94536,Alameda,37.568,-122.02226,Library
CHERRYLAND LIBRARY,HAYWARD,94541,Alameda,37.68415,-122.1121,Library
DUBLIN LIBRARY,DUBLIN,94568,Alameda,37.70278,-121.91895,Library
FREMONT MAIN LIBRARY,FREMONT,94538,Alameda,37.55082,-121.97098,Library
IRVINGTON LIBRARY,FREMONT,94538,Alameda,37.52198,-121.96477,Library
NEWARK LIBRARY,NEWARK,94560,Alameda,37.53458,-122.03038,Library
NILES LIBRARY,FREMONT,94536,Alameda,37.57603,-121.97813,Library
SAN LORENZO LIBRARY,SAN LORENZO,94580,Alameda,37.68106,-122.12595,Library
UNION CITY LIBRARY,UNION CITY,94587,Alameda,37.58811,-122.02718,Library
ALAMEDA FREE LIBRARY,ALAMEDA,94501,Alameda,37.76681,-122.24243,Library
BAY FARM ISLAND BRANCH,ALAMEDA,94502,Alameda,37.73696,-122.24155,Library
WEST END BRANCH,ALAMEDA,94501,Alameda,37.7734,-122.27366,Library
ALHAMBRA PUBLIC LIBRARY,ALHAMBRA,91801,Los Angeles,34.09307,-118.12754,Library
ALPINE COUNTY LIBRARY,MARKLEEVILLE,96120,Alpine,38.69329,-119.7823,Library
BEAR VALLEY LIBRARY STATION,BEAR VALLEY,95223,Alpine,38.46581,-120.03883,Library
ALTADENA LIBRARY DISTRICT,ALTADENA,91001,Los Angeles,34.18916,-118.13718,Library
BOB LUCAS MEMORIAL LIBRARY AND LITERACY CENTER,ALTADENA,91001,Los Angeles,34.19132,-118.15896,Library
AMADOR COUNTY LIBRARY,JACKSON,95642,Amador,38.35405,-120.77652,Library
IONE BRANCH LIBRARY,IONE,95640,Amador,38.35304,-120.93291,Library
PINE GROVE BRANCH LIBRARY,PINE GROVE,95665,Amador,38.41344,-120.65778,Library
PIONEER BRANCH LIBRARY,PIONEER,95666,Amador,38.44316,-120.55717,Library
PLYMOUTH BRANCH,PLYMOUTH,95669,Amador,38.4812,-120.8485,Library
ANAHEIM PUBLIC LIBRARY - CENTRAL,ANAHEIM,92805,Orange,33.8315,-117.91932,Library
ANAHEIM HERITAGE CENTER @ THE MUZEO,ANAHEIM,92805,Orange,33.83358,-117.91362,Library
CANYON HILLS BRANCH,ANAHEIM,92807,Orange,33.84508,-117.78544,Library
EAST ANAHEIM BRANCH,ANAHEIM,92808,Orange,33.8688,-117.74636,Library
EUCLID BRANCH,ANAHEIM,92802,Orange,33.81431,-117.94106,Library
HASKETT BRANCH,ANAHEIM,92804,Orange,33.8282,-117.97862,Library
PONDEROSA JOINT-USE LIBRARY,ANAHEIM,92802,Orange,33.79542,-117.90413,Library
SUNKIST BRANCH,ANAHEIM,92806,Orange,33.82814,-117.881,Library
ARCADIA PUBLIC LIBRARY,ARCADIA,91006,Los Angeles,34.12846,-118.03187,Library
AZUSA CITY LIBRARY,AZUSA,91702,Los Angeles,34.13481,-117.9054,Library
BANNING LIBRARY DISTRICT,BANNING,92220,Riverside,33.9291,-116.8771,Library
BEAUMONT LIBRARY DISTRICT,BEAUMONT,92223,Riverside,33.93201,-116.9811,Library
BELVEDERE-TIBURON LIBRARY,TIBURON,94920,Marin,37.87709,-122.46145,Library
BENICIA PUBLIC LIBRARY,BENICIA,94510,Solano,38.0534,-122.15447,Library
BERKELEY PUBLIC LIBRARY - CENTRAL,BERKELEY,94704,Alameda,37.8682,-122.26849,Library
CLAREMONT BRANCH LIBRARY,BERKELEY,94705,Alameda,37.85663,-122.25436,Library
NORTH BRANCH LIBRARY,BERKELEY,94707,Alameda,37.88545,-122.27545,Library
SOUTH BRANCH LIBRARY,BERKELEY,94703,Alameda,37.8564,-122.27093,Library
WEST BRANCH LIBRARY,BERKELEY,94702,Alameda,37.86956,-122.29091,Library
BEVERLY HILLS PUBLIC LIBRARY,BEVERLY HILLS,90210,Los Angeles,34.07305,-118.39938,Library
ROXBURY BOOK NOOK,BEVERLY HILLS,90212,Los Angeles,34.05857,-118.40614,Library
BLANCHARD COMMUNITY LIBRARY,SANTA PAULA,93060,Ventura,34.35382,-119.06408,Library
BRAWLEY PUBLIC LIBRARY,BRAWLEY,92227,Imperial,32.97843,-115.53481,Library
DEL RIO BRANCH,BRAWLEY,92227,Imperial,32.97574,-115.51728,Library
BUENA PARK LIBRARY DISTRICT,BUENA PARK,90620,Orange,33.8461,-118.00845,Library
BUENA VISTA BRANCH,BURBANK,91505,Los Angeles,34.16413,-118.33021,Library
BURBANK PUBLIC LIBRARY,BURBANK,91502,Los Angeles,34.18382,-118.30647,Library
NORTHWEST BRANCH,BURBANK,91505,Los Angeles,34.18509,-118.34752,Library
BURLINGAME MAIN LIBRARY,BURLINGAME,94010,San Mateo,37.57924,-122.34928,Library
EASTON BRANCH,BURLINGAME,94010,San Mateo,37.58393,-122.37157,Library
BIGGS BRANCH,BIGGS,95917,Butte,39.4135,-121.71032,Library
OROVILLE BRANCH,OROVILLE,95966,Butte,39.50647,-121.55279,Library
CHICO BRANCH,CHICO,95926,Butte,39.74383,-121.83411,Library
DURHAM BRANCH,DURHAM,95938,Butte,39.64898,-121.80951,Library
GRIDLEY BRANCH,GRIDLEY,95948,Butte,39.36669,-121.69109,Library
PARADISE BRANCH,PARADISE,95969,Butte,39.75799,-121.60616,Library
CALABASAS CITY LIBRARY,CALABASAS,91302,Los Angeles,34.15259,-118.64658,Library
ANGELS CAMP BRANCH,ANGELS CAMP,95222,Calaveras,38.08614,-120.56645,Library
ARNOLD BRANCH,ARNOLD,95223,Calaveras,38.25789,-120.34738,Library
CALAVERAS COUNTY LIBRARY,SAN ANDREAS,95249,Calaveras,38.1897,-120.66319,Library
COPPEROPOLIS BRANCH LIBRARY,COPPEROPOLIS,95228,Calaveras,37.96976,-120.62597,Library
MOKELUMNE HILL BRANCH LIBRARY,MOKELUMNE HILL,95245,Calaveras,38.30159,-120.70567,Library
MURPHYS BRANCH,MURPHYS,95247,Calaveras,38.13742,-120.45964,Library
VALLEY SPRINGS BRANCH,VALLEY SPRINGS,95252,Calaveras,38.19105,-120.83253,Library
WEST POINT BRANCH LIBRARY,WEST POINT,95255,Calaveras,38.39866,-120.52643,Library
CAMARENA MEMORIAL PUBLIC LIBRARY,CALEXICO,92231,Imperial,32.67527,-115.48765,Library
CARNEGIE TECHNOLOGY CENTER BRANCH,CALEXICO,92231,Imperial,32.66957,-115.49265,Library
CAMARILLO PUBLIC LIBRARY,CAMARILLO,93010,Ventura,34.24317,-119.0139,Library
DOVE LIBRARY,CARLSBAD,92011,San Diego,33.10543,-117.26986,Library
GEORGINA COLE LIBRARY,CARLSBAD,92008,San Diego,33.16495,-117.34051,Library
CARLSBAD CITY LIBRARY LEARNING CENTER,CARLSBAD,92008,San Diego,33.15934,-117.33858,Library
CARPINTERIA COMMUNITY LIBRARY,CARPINTERIA,93013,Santa Barbara,34.39744,-119.51704,Library
CERRITOS LIBRARY,CERRITOS,90703,Los Angeles,33.86705,-118.06474,Library
CIVIC CENTER BRANCH,CHULA VISTA,91910,San Diego,32.64094,-117.08336,Library
OTAY RANCH LIBRARY,CHULA VISTA,91915,San Diego,32.62384,-116.96698,Library
SOUTH CHULA VISTA LIBRARY,CHULA VISTA,91911,San Diego,32.60191,-117.06855,Library
BANDINI BRANCH,COMMERCE,90040,Los Angeles,34.00516,-118.16498,Library
BRISTOW PARK BRANCH,COMMERCE,90040,Los Angeles,34.01304,-118.16923,Library
CITY OF COMMERCE ROSEWOOD LIBRARY,COMMERCE,90040,Los Angeles,34.00033,-118.15669,Library
VETERANS BRANCH,COMMERCE,90040,Los Angeles,33.98624,-118.12455,Library
COALINGA LIBRARY,COALINGA,93210,Fresno,36.14141,-120.36094,Library
HURON BRANCH LIBRARY,HURON,93234,Fresno,36.21002,-120.09951,Library
COLTON MAIN LIBRARY,COLTON,92324,San Bernardino,34.07177,-117.3212,Library
LUQUE BRANCH LIBRARY,COLTON,92324,San Bernardino,34.05923,-117.32213,Library
ARBUCKLE BRANCH,ARBUCKLE,95912,Colusa,39.01534,-122.05831,Library
COLUSA COUNTY FREE LIBRARY,COLUSA,95932,Colusa,39.21504,-122.01097,Library
GRIMES BRANCH,GRIMES,95950,Colusa,39.07426,-121.89432,Library
MAXWELL BRANCH,MAXWELL,95955,Colusa,39.27647,-122.19219,Library
PRINCETON BRANCH,PRINCETON,95970,Colusa,39.44839,-122.02692,Library
STONYFORD BRANCH,STONYFORD,95979,Colusa,39.36893,-122.54819,Library
WILLIAMS BRANCH,WILLIAMS,95987,Colusa,39.15352,-122.15185,Library
ANTIOCH LIBRARY,ANTIOCH,94509,Contra Costa,38.00471,-121.81262,Library
BAY POINT LIBRARY,BAY POINT,94565,Contra Costa,38.03363,-121.96715,Library
BRENTWOOD LIBRARY,BRENTWOOD,94513,Contra Costa,37.93361,-121.69258,Library
CLAYTON COMMUNITY LIBRARY,CLAYTON,94517,Contra Costa,37.94256,-121.93531,Library
CONCORD LIBRARY,CONCORD,94519,Contra Costa,37.98159,-122.02519,Library
CROCKETT LIBRARY,CROCKETT,94525,Contra Costa,38.05542,-122.22074,Library
DANVILLE LIBRARY,DANVILLE,94526,Contra Costa,37.82086,-121.99561,Library
DOUGHERTY STATION LIBRARY,SAN RAMON,94582,Contra Costa,37.75391,-121.90973,Library
EL CERRITO LIBRARY,EL CERRITO,94530,Contra Costa,37.90841,-122.30398,Library
EL SOBRANTE LIBRARY,EL SOBRANTE,94803,Contra Costa,37.9674,-122.30964,Library
HERCULES LIBRARY,HERCULES,94547,Contra Costa,38.00957,-122.26517,Library
KENSINGTON LIBRARY,KENSINGTON,94707,Contra Costa,37.91298,-122.28103,Library
LAFAYETTE LIBRARY,LAFAYETTE,94549,Contra Costa,37.89226,-122.11602,Library
MARTINEZ LIBRARY,MARTINEZ,94553,Contra Costa,38.01795,-122.13418,Library
MORAGA LIBRARY,MORAGA,94556,Contra Costa,37.84135,-122.11014,Library
OAKLEY LIBRARY,OAKLEY,94561,Contra Costa,37.97065,-121.71803,Library
ORINDA LIBRARY,ORINDA,94563,Contra Costa,37.88253,-122.18746,Library
PLEASANT HILL LIBRARY,PLEASANT HILL,94523,Contra Costa,37.93486,-122.06839,Library
PINOLE LIBRARY,PINOLE,94564,Contra Costa,37.99242,-122.28499,Library
PITTSBURG LIBRARY,PITTSBURG,94565,Contra Costa,38.01874,-121.8909,Library
PREWETT LIBRARY,ANTIOCH,94531,Contra Costa,37.96627,-121.77448,Library
RODEO LIBRARY,RODEO,94572,Contra Costa,38.03525,-122.26842,Library
SAN PABLO LIBRARY,SAN PABLO,94806,Contra Costa,37.95788,-122.33993,Library
SAN RAMON LIBRARY,SAN RAMON,94583,Contra Costa,37.76433,-121.95327,Library
WALNUT CREEK LIBRARY,WALNUT CREEK,94596,Contra Costa,37.90132,-122.06026,Library
YGNACIO VALLEY LIBRARY,WALNUT CREEK,94598,Contra Costa,37.92408,-122.01262,Library
CORONA PUBLIC LIBRARY,CORONA,92882,Riverside,33.87499,-117.56804,Library
CORONADO PUBLIC LIBRARY,CORONADO,92118,San Diego,32.6912,-117.17767,Library
COVINA PUBLIC LIBRARY,COVINA,91723,Los Angeles,34.0882,-117.88745,Library
CROWELL PUBLIC LIBRARY,SAN MARINO,91108,Los Angeles,34.11901,-118.11269,Library
BAYSHORE LIBRARY,DALY CITY,94014,San Mateo,37.7016,-122.41897,Library
JOHN D. DALY LIBRARY,DALY CITY,94014,San Mateo,37.70202,-122.46261,Library
SERRAMONTE MAIN LIBRARY,DALY CITY,94015,San Mateo,37.66304,-122.47039,Library
WESTLAKE LIBRARY,DALY CITY,94015,San Mateo,37.69722,-122.4854,Library
DEL NORTE COUNTY LIBRARY DISTRICT,CRESCENT CITY,95531,Del Norte,41.75575,-124.20259,Library
SMITH RIVER BRANCH,SMITH RIVER,95567,Del Norte,41.92632,-124.14821,Library
DOWNEY CITY LIBRARY,DOWNEY,90241,Los Angeles,33.93969,-118.12882,Library
COMMUNITY CENTER BRANCH LIBRARY,EL CENTRO,92243,Imperial,32.79031,-115.54382,Library
EL CENTRO PUBLIC LIBRARY,EL CENTRO,92243,Imperial,32.80247,-115.57161,Library
CAMERON PARK BRANCH,CAMERON PARK,95682,El Dorado,38.65996,-121.00571,Library
EL DORADO COUNTY LIBRARY,PLACERVILLE,95667,El Dorado,38.72892,-120.82769,Library
EL DORADO HILLS LIBRARY,EL DORADO HILLS,95762,El Dorado,38.67204,-121.06459,Library
GEORGETOWN LIBRARY,GEORGETOWN,95634,El Dorado,38.90634,-120.83762,Library
POLLOCK PINES LIBRARY,POLLOCK PINES,95726,El Dorado,38.75961,-120.58827,Library
SOUTH LAKE TAHOE LIBRARY,SOUTH LAKE TAHOE,96150,El Dorado,38.9445,-119.97356,Library
CENTER STREET SCHOOL BRANCH LIBRARY,EL SEGUNDO,90245,Los Angeles,33.92473,-118.40461,Library
EL SEGUNDO PUBLIC LIBRARY,EL SEGUNDO,90245,Los Angeles,33.92392,-118.41678,Library
HIGH SCHOOL BRANCH LIBRARY,EL SEGUNDO,90245,Los Angeles,33.92487,-118.41538,Library
MIDDLE SCHOOL BRANCH LIBRARY,EL SEGUNDO,90245,Los Angeles,33.9202,-118.40464,Library
RICHMOND STREET ELEMENTARY SCHOOL LIBRARY,EL SEGUNDO,90245,Los Angeles,33.92435,-118.41746,Library
ESCONDIDO PIONEER ROOM AND COMPUTER CENTER,ESCONDIDO,92025,San Diego,33.1206,-117.07925,Library
ESCONDIDO PUBLIC LIBRARY,ESCONDIDO,92025,San Diego,33.12082,-117.07987,Library
"FOLSOM PUBLIC LIBRARY, GEORGIA MURRAY BUILDING",FOLSOM,95630,Sacramento,38.68126,-121.16659,Library
AUBERRY BRANCH LIBRARY,AUBERRY,93602,Fresno,37.07471,-119.48785,Library
BEAR MOUNTAIN BRANCH LIBRARY,SQUAW VALLEY,93675,Fresno,36.73842,-119.25071,Library
BETTY RODRIGUEZ REGIONAL LIBRARY,FRESNO,93703,Fresno,36.77826,-119.75374,Library
BIG CREEK STATION,BIG CREEK,93605,Fresno,37.20481,-119.24712,Library
BIOLA STATION,BIOLA,93723,Fresno,36.80497,-120.01755,Library
CARUTHERS BRANCH LIBRARY,CARUTHERS,93609,Fresno,36.54212,-119.83139,Library
CENTRAL LIBRARY,FRESNO,93721,Fresno,36.7379,-119.78649,Library
CLOVIS REGIONAL LIBRARY,CLOVIS,93612,Fresno,36.82431,-119.69479,Library
EASTON BRANCH LIBRARY,EASTON,93706,Fresno,36.65224,-119.79036,Library
FIG GARDEN REGIONAL LIBRARY,FRESNO,93711,Fresno,36.82238,-119.84643,Library
