X,Y,OBJECTID,Year,FedID,CDSCode,CDCode,SCode,CountyName,DistrictName,SchoolName,SchoolType,Status,OpenDate,ClosedDate,SchoolLevel,GradeLow,GradeHigh,Charter,CharterNum,FundingType,Virtual,Magnet,TitleIStatus,DASS,AssistStatusESSA,Street,City,Zip,State,CongUS,SenateCA,AssemblyCA,Locale,Latitude,Longitude,LocSource,EnrollTotal,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SEDCount,SEDpct,SWDcount,SWDpct,FRPMcount,FRPMpct
-13607542.0468,4549047.1801,2,2020-21,60169112844,1100170123968,110017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary,Active,2011/08/22 00:00:00+00,,Elementary,KG,08,Y,1284,Directly funded,N,N,,N,,2111 International Blvd.,Oakland,94606,CA,13.0,9.0,18.0,"11 - City, Large",37.784639999882,-122.238629999648,NCES,253,47.0,18.6,0.0,0.0,24.0,9.5,2.0,0.80000001,160.0,63.200001,0.0,0.0,5.0,2.0,10.0,4.0,5.0,2.0,131.0,51.799999,1.0,0.40000001,3.0,1.2,0.0,0.0,188.0,74.300003,38.0,15.0,176.0,69.599998
-13601903.54,4549345.9941,4,2020-21,60181613008,1100170125567,110017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,Elementary,Active,2012/08/27 00:00:00+00,,Elementary,KG,08,Y,1383,Directly funded,N,N,,N,,4551 Steele St.,Oakland,94619,CA,13.0,9.0,18.0,"11 - City, Large",37.7867614171248,-122.187978430958,CDE Manual Geocode,395,81.0,20.5,2.0,0.5,26.0,6.5999999,3.0,0.80000001,118.0,29.9,2.0,0.5,107.0,27.1,56.0,14.2,0.0,0.0,63.0,15.9,0.0,0.0,2.0,0.5,0.0,0.0,113.0,28.6,46.0,11.6,111.0,28.1
-13606538.6129,4547987.0274,5,2020-21,60222313772,1100170129403,110017,129403,Alameda,Alameda County Office of Education,Epic Charter,Middle,Active,2014/08/25 00:00:00+00,,Middle,06,08,N,,,N,N,,N,,1045 Derby Ave.,Oakland,94601,CA,13.0,9.0,18.0,"11 - City, Large",37.7771129998303,-122.229615999746,NCES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13594138.067,4539376.4224,6,2020-21,69105109264,1100170130401,110017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court,Active,1980/07/01 00:00:00+00,,High,KG,12,N,,,N,N,,Y,,2500 Fairmont Ave.,San Leandro,94578,CA,15.0,10.0,20.0,"21 - Suburban, Large",37.7159500001502,-122.118220000113,NCES,50,31.0,62.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,32.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,18.0,4.0,8.0,11.0,22.0,0.0,0.0,50.0,100.0,13.0,26.0,50.0,100.0
-13591880.5077,4531273.918,7,2020-21,69105106830,1100170130419,110017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Community,Active,1980/07/01 00:00:00+00,,High,KG,12,N,,,C,N,,Y,,313 West Winton Ave.,Hayward,94544,CA,15.0,10.0,20.0,"21 - Suburban, Large",37.6583499997809,-122.097939999751,NCES,105,36.0,34.299999,1.0,1.0,1.0,1.0,0.0,0.0,59.0,56.200001,2.0,1.9,4.0,3.8,1.0,1.0,1.0,1.0,28.0,26.700001,3.0,2.9000001,1.0,1.0,0.0,0.0,90.0,85.699997,13.0,12.4,80.0,76.199997
-13602213.0754,4545447.5818,8,2020-21,60234613887,1100170131581,110017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,Middle,Active,2015/08/23 00:00:00+00,,Middle,06,08,Y,1707,Directly funded,N,N,,N,,1180 70th Ave.,Oakland,94621,CA,13.0,9.0,18.0,"11 - City, Large",37.759080020742,-122.190759034539,ArcGIS World Geocode,145,19.0,13.1,0.0,0.0,2.0,1.4,2.0,1.4,117.0,80.699997,0.0,0.0,1.0,0.69999999,1.0,0.69999999,3.0,2.0999999,62.0,42.799999,0.0,0.0,0.0,0.0,0.0,0.0,130.0,89.699997,19.0,13.1,124.0,85.5
-13583773.1092,4523603.4359,9,2020-21,60215914091,1100170136101,110017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12,Active,2017/08/16 00:00:00+00,,Elementary-High,KG,12,Y,1881,Directly funded,N,N,,N,,703 C St.,Union City,94587,CA,15.0,10.0,20.0,"21 - Suburban, Large",37.6037800000363,-122.025109999639,NCES,534,17.0,3.2,1.0,0.2,140.0,26.200001,15.0,2.8,78.0,14.6,1.0,0.2,190.0,35.599998,79.0,14.8,13.0,2.4000001,16.0,3.0,0.0,0.0,2.0,0.40000001,0.0,0.0,146.0,27.299999,36.0,6.6999998,146.0,27.299999
-13591881.21,4531274.0064,10,2020-21,69105114090,1100170136226,110017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,Active,2017/09/05 00:00:00+00,,High,10,12,Y,1888,Locally funded,C,N,,Y,,313 West Winton Ave.,Hayward,94544,CA,15.0,10.0,20.0,"21 - Suburban, Large",37.6583506287462,-122.0979463084,CDE Manual Geocode,134,50.0,37.299999,1.0,0.69999999,2.0,1.5,1.0,0.69999999,62.0,46.299999,1.0,0.69999999,10.0,7.5,7.0,5.1999998,0.0,0.0,14.0,10.4,4.0,3.0,1.0,0.69999999,0.0,0.0,87.0,64.900002,14.0,10.4,49.0,36.599998
-13602800.9497,4545384.2167,11,2020-21,60245914335,1100170137448,110017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Middle,Active,2018/08/13 00:00:00+00,,Middle,06,08,Y,1908,Directly funded,N,N,,N,,1034 66th Ave.,Oakland,94621,CA,13.0,9.0,18.0,"11 - City, Large",37.7586300001029,-122.19603999956,NCES,197,74.0,37.599998,0.0,0.0,2.0,1.0,3.0,1.5,116.0,58.900002,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,53.0,26.9,1.0,0.5,8.0,4.0999999,0.0,0.0,151.0,76.599998,28.0,14.2,146.0,74.099998
-13590112.8655,4529828.6479,12,2020-21,60252314443,1100170138867,110017,138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Elementary,Active,2019/08/19 00:00:00+00,,Elementary,KG,06,Y,2027,Directly funded,N,N,,N,,166 West Harder Rd.,Hayward,94544,CA,15.0,10.0,20.0,"21 - Suburban, Large",37.6480709998258,-122.082061000156,NCES,116,10.0,8.6000004,0.0,0.0,6.0,5.1999998,4.0,3.4000001,69.0,59.5,7.0,6.0,3.0,2.5999999,4.0,3.4000001,13.0,11.2,30.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,68.0,58.599998,6.0,5.1999998,63.0,54.299999
-13598944.8426,4543648.2447,13,2020-21,60171804257,1100176001788,110017,6001788,Alameda,Alameda County Office of Education,Cox Academy,Elementary,Active,1980/07/01 00:00:00+00,,Elementary,KG,05,Y,0740,Directly funded,N,N,,N,,9860 Sunnyside St.,Oakland,94603,CA,13.0,9.0,18.0,"11 - City, Large",37.746300000392,-122.161399999954,NCES,581,99.0,17.0,2.0,0.30000001,6.0,1.0,3.0,0.5,438.0,75.400002,22.0,3.8,0.0,0.0,10.0,1.7,1.0,0.2,262.0,45.099998,7.0,1.2,5.0,0.89999998,0.0,0.0,533.0,91.699997,55.0,9.5,516.0,88.800003
-13606779.5083,4547768.3061,14,2020-21,60240504288,1100176002000,110017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary,Active,1980/07/01 00:00:00+00,,Elementary,KG,08,Y,1464,Directly funded,N,N,,N,,824 29th Ave.,Oakland,94601,CA,13.0,9.0,18.0,"11 - City, Large",37.77556000041,-122.231779999515,NCES,485,21.0,4.3000002,4.0,0.80000001,7.0,1.4,5.0,1.0,433.0,89.300003,0.0,0.0,9.0,1.9,5.0,1.0,1.0,0.2,215.0,44.299999,2.0,0.40000001,5.0,1.0,0.0,0.0,451.0,93.0,62.0,12.8,442.0,91.099998
-13577136.2411,4517706.4614,15,2020-21,60000210346,1316090131755,131609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special,Active,1980/07/01 00:00:00+00,,Elementary-High,KG,AD,N,,,N,Y,,N,,500 Walnut Ave.,Fremont,94536,CA,17.0,10.0,20.0,"21 - Suburban, Large",37.5618000004498,-121.965489999642,NCES,58,8.0,13.8,0.0,0.0,7.0,12.1,1.0,1.7,30.0,51.700001,0.0,0.0,11.0,19.0,0.0,0.0,1.0,1.7,10.0,17.200001,0.0,0.0,0.0,0.0,0.0,0.0,58.0,100.0,57.0,98.300003,58.0,100.0
-13576898.0175,4517419.985,16,2020-21,60000310347,1316170131763,131617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special,Active,1980/07/01 00:00:00+00,,Elementary-High,KG,12,N,,,N,N,,N,,39350 Gallaudet Dr.,Fremont,94538,CA,17.0,10.0,20.0,"21 - Suburban, Large",37.5597599998774,-121.963350000079,NCES,318,17.0,5.3000002,1.0,0.30000001,33.0,10.4,10.0,3.0999999,176.0,55.299999,1.0,0.30000001,64.0,20.1,16.0,5.0,0.0,0.0,33.0,10.4,5.0,1.6,3.0,0.89999998,0.0,0.0,316.0,99.400002,317.0,99.699997,316.0,99.400002
-13612204.1072,4548590.8237,17,2020-21,60177010547,1611190106401,161119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alternative Schools of Choice,Active,2004/08/19 00:00:00+00,,High,09,12,N,,,N,Y,,N,,555 Ralph Appezzato Memorial Pkwy.,Alameda,94501,CA,13.0,9.0,18.0,"21 - Suburban, Large",37.7813999995511,-122.280510000188,NCES,170,5.0,2.9000001,0.0,0.0,100.0,58.799999,8.0,4.6999998,18.0,10.6,0.0,0.0,25.0,14.7,11.0,6.5,3.0,1.8,13.0,7.5999999,0.0,0.0,1.0,0.60000002,0.0,0.0,67.0,39.400002,5.0,2.9000001,64.0,37.599998
-13612717.29,4548752.7998,18,2020-21,60177011549,1611190111765,161119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Elementary,Active,2006/08/28 00:00:00+00,,Elementary,KG,05,N,,,N,N,,N,,351 Jack London Ave.,Alameda,94501,CA,13.0,9.0,18.0,"21 - Suburban, Large",37.7825499997451,-122.285119999647,NCES,455,69.0,15.2,6.0,1.3,104.0,22.9,39.0,8.6000004,77.0,16.9,8.0,1.8,79.0,17.4,55.0,12.1,18.0,4.0,99.0,21.799999,4.0,0.89999998,7.0,1.5,0.0,0.0,255.0,56.0,74.0,16.299999,252.0,55.400002
