County,Name,Type,City,Zip,Latitude,Longitude
Alameda,Community School for Creative Education,Elementary,Oakland,94606,37.78464,-122.23863
Alameda,Urban Montessori Charter,Elementary,Oakland,94619,37.78676142,-122.1879784
Alameda,Epic Charter,Middle,Oakland,94601,37.777113,-122.229616
Alameda,Alameda County Juvenile Hall/Court,Juvenile Court,San Leandro,94578,37.71595,-122.11822
Alameda,Alameda County Community,County Community,Hayward,94544,37.65835,-122.09794
Alameda,Oakland Unity Middle,Middle,Oakland,94621,37.75908002,-122.190759
Alameda,Connecting Waters Charter - East Bay,K-12,Union City,94587,37.60378,-122.02511
Alameda,Opportunity Academy,County Community,Hayward,94544,37.65835063,-122.0979463
Alameda,Aurum Preparatory Academy,Middle,Oakland,94621,37.75863,-122.19604
Alameda,Hayward Collegiate Charter,Elementary,Hayward,94544,37.648071,-122.082061
Alameda,Cox Academy,Elementary,Oakland,94603,37.7463,-122.1614
Alameda,Lazear Charter Academy,Elementary,Oakland,94601,37.77556,-122.23178
Alameda,California School for the Blind,State Special,Fremont,94536,37.5618,-121.96549
Alameda,California School for the Deaf-Fremont,State Special,Fremont,94538,37.55976,-121.96335
Alameda,Alameda Science and Technology Institute,Alternative Schools of Choice,Alameda,94501,37.7814,-122.28051
Alameda,Ruby Bridges Elementary,Elementary,Alameda,94501,37.78255,-122.28512
Alameda,Nea Community Learning Center,K-12,Alameda,94501,37.77921,-122.28729
Alameda,The Academy of Alameda,Middle,Alameda,94501,37.77704,-122.2854
Alameda,Alameda High,High,Alameda,94501,37.764707,-122.246134
Alameda,Alameda Community Learning Center,K-12,Alameda,94501,37.77921,-122.28729
Alameda,Alternatives in Action,High,Oakland,94621,37.76434,-122.19551
Alameda,The Academy of Alameda Elementary,Elementary,Alameda,94501,37.77656,-122.28535
Alameda,Encinal Junior/Senior High,K-12,Alameda,94501,37.77171,-122.2897
Alameda,Island High (Continuation),Continuation,Alameda,94501,37.77613,-122.28151
Alameda,Maya Lin,Elementary,Alameda,94501,37.772485,-122.271811
Alameda,Edison Elementary,Elementary,Alameda,94501,37.76455,-122.23476
Alameda,Frank Otis Elementary,Elementary,Alameda,94501,37.75381,-122.2383
Alameda,Franklin Elementary,Elementary,Alameda,94501,37.76885,-122.26084
Alameda,Love Elementary,Elementary,Alameda,94501,37.76918,-122.2512
Alameda,Lincoln Middle,Middle,Alameda,94501,37.75283,-122.23146
Alameda,Will C. Wood Middle,Middle,Alameda,94501,37.76131,-122.26243
Alameda,William G. Paden Elementary,Elementary,Alameda,94501,37.77121,-122.28393
Alameda,Roy A. Johnson High,Special Education,Castro Valley,94546,37.713,-122.09289
Alameda,Castro Valley High,High,Castro Valley,94546,37.70431,-122.07668
Alameda,Castro Valley Virtual Academy,K-12,Castro Valley,94546,37.713,-122.09289
Alameda,Redwood Continuation High,Continuation,Castro Valley,94546,37.71363,-122.09206
Alameda,Castro Valley Elementary,Elementary,Castro Valley,94546,37.69804,-122.08156
Alameda,Chabot Elementary,Elementary,Castro Valley,94546,37.70723,-122.0896
Alameda,Creekside Middle,Middle,Castro Valley,94546,37.6992,-122.06078
Alameda,Marshall Elementary,Elementary,Castro Valley,94546,37.69865,-122.06647
Alameda,Proctor Elementary,Elementary,Castro Valley,94546,37.71639,-122.0726
Alameda,Stanton Elementary,Elementary,Castro Valley,94546,37.70045,-122.09379
Alameda,Vannoy Elementary,Elementary,Castro Valley,94546,37.70712,-122.05877
Alameda,Young Adult Program,Special Education,Fremont,94538,37.53827,-121.99128
Alameda,American High,High,Fremont,94536,37.56451,-122.0163
Alameda,Robertson High (Continuation),Continuation,Fremont,94538,37.52015,-121.96446
Alameda,Vista Alternative,Alternative Schools of Choice,Fremont,94538,37.51999,-121.96427
Alameda,Circle of Independent Learning,K-12,Fremont,94538,37.53827,-121.99128
Alameda,Irvington High,High,Fremont,94538,37.52402,-121.96631
Alameda,John F. Kennedy High,High,Fremont,94538,37.52911,-121.98647
Alameda,Washington High,High,Fremont,94536,37.55284,-121.99483
Alameda,John Blacow Elementary,Elementary,Fremont,94538,37.5275,-121.97606
Alameda,Brier Elementary,Elementary,Fremont,94538,37.54071,-121.98481
Alameda,Cabrillo Elementary,Elementary,Fremont,94536,37.55172,-122.02357
Alameda,E. M. Grimmer Elementary,Elementary,Fremont,94538,37.52018,-121.9511
Alameda,Glenmoor Elementary,Elementary,Fremont,94536,37.54508,-122.00479
Alameda,Harvey Green Elementary,Elementary,Fremont,94538,37.51947,-121.95945
Alameda,J. Haley Durham Elementary,Elementary,Fremont,94538,37.54268,-121.9663
Alameda,Joseph Azevada Elementary,Elementary,Fremont,94538,37.53154,-121.99394
Alameda,Tom Maloney Elementary,Elementary,Fremont,94536,37.54592,-121.99799
Alameda,John G. Mattos Elementary,Elementary,Fremont,94536,37.53879,-122.01176
Alameda,Niles Elementary,Elementary,Fremont,94536,37.57654,-121.98453
Alameda,O. N. Hirsch Elementary,Elementary,Fremont,94538,37.52802,-121.96399
Alameda,Parkmont Elementary,Elementary,Fremont,94536,37.56094,-121.98363
Alameda,Patterson Elementary,Elementary,Fremont,94536,37.56183,-122.03137
Alameda,Vallejo Mill Elementary,Elementary,Fremont,94536,37.57502,-121.96109
Alameda,Centerville Junior High,Middle,Fremont,94536,37.5559,-122.00141
Alameda,G. M. Walters Middle,Middle,Fremont,94538,37.53677,-121.98336
Alameda,John M. Horner Middle,Middle,Fremont,94538,37.52940218,-121.9641631
Alameda,Thornton Junior High,Middle,Fremont,94536,37.55666,-122.01555
Alameda,Brookvale Elementary,Elementary,Fremont,94536,37.56816,-122.01532
Alameda,Warwick Elementary,Elementary,Fremont,94555,37.57677,-122.03193
Alameda,Oliveira Elementary,Elementary,Fremont,94536,37.5605,-122.01701
Alameda,Steven Millard Elementary,Elementary,Fremont,94538,37.51964,-121.97487
Alameda,Ardenwood Elementary,Elementary,Fremont,94555,37.57257,-122.05289
Alameda,Forest Park Elementary,Elementary,Fremont,94555,37.56208,-122.05212
Alameda,Leadership Public Schools - Hayward,High,Hayward,94545,37.62325,-122.08679
Alameda,Stonebrae Elementary,Elementary,Hayward,94542,37.6536,-122.01759
Alameda,Golden Oak Montessori of Hayward,Elementary,Castro Valley,94546,37.68784,-122.07019
Alameda,Knowledge Enlightens You (KEY) Academy,Elementary,Hayward,94541,37.67713,-122.07222
Alameda,Silver Oak High Public Montessori Charter,High,Hayward,94541,37.672036,-122.098718
Alameda,Brenkwitz High,Continuation,Hayward,94541,37.67259,-122.09834
Alameda,Hayward High,High,Hayward,94541,37.6718,-122.0685
Alameda,Mt. Eden High,High,Hayward,94545,37.6248,-122.09014
Alameda,Impact Academy of Arts & Technology,K-12,Hayward,94545,37.63093,-122.10291
Alameda,Tennyson High,High,Hayward,94544,37.64183,-122.06642
